"日付け","終値","始値","高値","安値","前日比率"
"2017年06月05日","304545.5313","296355.8125","319043.3438","275573.3438","2.76"
"2017年06月04日","296355.8125","282820.5625","298950.4375","267351.3750","4.79"
"2017年06月03日","282820.5625","278196.5000","298950.8438","278186.8438","1.66"
"2017年06月02日","278196.5000","271102.2813","307974.3750","260000.1719","2.62"
"2017年06月01日","271102.2813","262456.1563","312182.8438","249171.8125","3.29"
"2017年05月31日","262456.1563","267155.4688","284040.2813","248300.6406","-1.76"
"2017年05月30日","267155.4688","264010.3750","291657.2813","240167.6719","1.19"
"2017年05月29日","264010.3750","249255.6250","297160.9688","238299.5313","5.92"
"2017年05月28日","249255.6250","252699.5781","278525.3438","217596.2656","-1.36"
"2017年05月27日","252699.5781","260016.7813","322539.1875","217622.8438","-2.81"
"2017年05月26日","260016.7813","269661.6250","382414.1875","255145.9844","-3.58"
"2017年05月25日","269661.6250","286396.5625","382688.7188","254061.1875","-5.84"
"2017年05月24日","286396.5625","254474.9844","292119.8125","242575.6094","12.54"
"2017年05月23日","254474.9844","249444.0938","281489.7188","225120.2188","2.02"
"2017年05月22日","249444.0938","226665.5156","258491.6406","224778.5625","10.05"
"2017年05月21日","226665.5156","231958.8906","249389.5156","223864.7969","-2.28"
"2017年05月20日","231958.8906","224118.4531","232331.7031","216888.7969","3.50"
"2017年05月19日","224118.4531","221808.8125","232341.3438","209003.3125","1.04"
"2017年05月18日","221808.8125","220620.6719","222545.2500","198532.8281","0.54"
"2017年05月17日","220620.6719","203827.7344","238778.7188","186207.1719","8.24"
"2017年05月16日","203827.7344","200101.6563","205839.9219","192234.9375","1.86"
"2017年05月15日","200101.6563","202195.8750","206576.3281","193028.7969","-1.04"
"2017年05月14日","202195.8750","201502.3125","206651.4531","191047.6875","0.34"
"2017年05月13日","201502.3125","197841.2031","212824.7969","191047.6875","1.85"
"2017年05月12日","197841.2031","210125.2656","231569.0625","195995.9375","-5.85"
"2017年05月11日","210125.2656","203548.0469","231569.0625","193532.7031","3.23"
"2017年05月10日","203548.0469","195541.6406","214030.8281","187121.6719","4.09"
"2017年05月09日","195541.6406","174375.3750","205633.6563","163025.5156","12.14"
"2017年05月08日","174375.3750","176600.8906","184226.9688","170409.0313","-1.26"
"2017年05月07日","176600.8906","175887.3750","180362.6250","169492.2500","0.41"
"2017年05月06日","175887.3750","172304.9375","182750.5625","169991.7813","2.08"
"2017年05月05日","172304.9375","180000.0000","213062.7813","161877.5625","-4.28"
"2017年05月04日","180000.0000","168756.7969","214444.2344","161000.0000","6.66"
"2017年05月03日","168756.7969","160380.4844","169148.5781","146855.5000","5.22"
"2017年05月02日","160380.4844","156053.3281","169266.8125","146855.5000","2.77"
"2017年05月01日","156053.3281","147368.1250","158139.1406","144758.3438","5.89"
"2017年04月30日","147368.1250","146668.1563","149094.7188","144758.3438","0.48"
"2017年04月29日","146668.1563","147756.7344","150512.5156","144758.3438","-0.74"
"2017年04月28日","147756.7344","148531.3438","150747.2813","142746.5625","-0.52"
"2017年04月27日","148531.3438","142180.4063","149349.7188","141279.2813","4.47"
"2017年04月26日","142180.4063","140115.0313","146102.6250","138350.0313","1.47"
"2017年04月25日","140115.0313","137283.3125","141483.1406","134410.5313","2.06"
"2017年04月24日","137283.3125","137550.0313","137826.8125","132000.0000","-0.19"
"2017年04月23日","137550.0313","134945.3750","137867.1563","131235.2813","1.28"
"2017年04月22日","135813.1406","135277.0000","137120.5469","131308.4688","0.40"
"2017年04月21日","135277.0000","135648.6719","137474.9063","130671.2031","-0.27"
"2017年04月20日","135648.6719","129682.0156","136244.7344","129250.1719","4.60"
"2017年04月19日","129682.0156","128894.3750","132739.1250","118169.9375","-0.32"
"2017年04月18日","130097.7344","132145.9219","143018.7031","118169.9375","-1.55"
"2017年04月17日","132145.9219","128155.1250","132355.4844","127647.4688","3.11"
"2017年04月16日","128155.1250","128529.3203","140279.4688","127905.5313","-0.29"
"2017年04月15日","128529.3203","131877.9063","140030.6563","128510.1250","-2.54"
"2017年04月14日","131877.9063","126876.4453","141104.5313","125397.1172","3.94"
"2017年04月13日","126876.4453","132431.8594","138697.0781","120889.5703","-4.19"
"2017年04月12日","132431.8594","132583.8281","135093.7813","130271.4609","-0.11"
"2017年04月11日","132583.8281","132315.2656","136003.0781","125000.0000","0.20"
"2017年04月10日","132315.2656","131130.0469","137100.7188","125000.0000","0.90"
"2017年04月09日","131130.0469","128973.2734","133719.0781","128198.3047","1.67"
"2017年04月08日","128973.2734","131876.7188","132813.5156","121164.9766","-2.27"
"2017年04月07日","131974.0313","130835.6641","132750.9688","121164.9766","0.87"
"2017年04月06日","130835.6641","122930.5938","131272.9219","122352.0078","6.43"
"2017年04月05日","122930.5938","125908.6406","129622.2813","122085.7969","-2.37"
"2017年04月04日","125908.6406","127783.2344","129700.1406","121753.4844","-1.47"
"2017年04月03日","127783.2344","121269.3906","129853.2109","119369.3438","5.37"
"2017年04月02日","121269.3906","120274.3984","122304.0391","119128.7031","0.90"
"2017年04月01日","120185.3047","120420.4063","125000.0000","114646.4844","-0.20"
"2017年03月31日","120420.4063","115078.2656","121795.7969","108000.0000","4.64"
"2017年03月30日","115078.2656","115505.8984","117074.3281","113070.9531","-0.37"
"2017年03月29日","115505.8984","114658.2734","118517.9922","112335.9219","0.74"
"2017年03月28日","114658.2734","118017.4844","127058.7813","107632.6172","-2.85"
"2017年03月27日","118017.4844","107144.8906","118017.4844","104677.8828","10.15"
"2017年03月26日","107144.8906","106177.8438","111135.9531","100529.0234","0.91"
"2017年03月25日","106177.8438","114535.7266","114535.7266","100517.5000","-7.30"
"2017年03月24日","114535.7266","114611.3125","118783.5000","106326.3281","-0.07"
"2017年03月23日","114611.3125","123250.6250","127776.5781","113535.7500","-6.72"
"2017年03月22日","122865.2266","124226.2813","127946.2734","112371.5625","-1.10"
"2017年03月21日","124226.2813","117932.3906","128280.8125","114663.3594","5.34"
"2017年03月20日","117932.3906","123982.5313","126501.1328","111703.9219","-4.88"
"2017年03月19日","123982.5313","118880.8594","137684.2188","111591.2344","4.29"
"2017年03月18日","118880.8594","127732.4609","137955.0625","113340.9844","-6.93"
"2017年03月17日","127732.4609","132078.2188","145907.7031","126759.6797","-3.29"
"2017年03月16日","132078.2188","142555.4531","145996.3750","132051.2500","-7.35"
"2017年03月15日","142555.4531","143934.8125","152096.6875","141106.8594","-0.96"
"2017年03月14日","143934.8125","141174.0313","146138.7031","139659.0000","1.96"
"2017年03月13日","141174.0313","139310.4063","146423.6094","133510.7188","1.34"
"2017年03月12日","139310.4063","134521.8594","141148.8594","133116.0000","3.56"
"2017年03月11日","134521.8594","126281.4141","149241.6719","123985.3906","6.53"
"2017年03月10日","126281.4141","144758.3438","149028.7500","122193.0234","-12.76"
"2017年03月09日","144758.3438","130883.6250","144758.3438","126264.2344","10.60"
"2017年03月08日","130883.6250","140775.4688","146659.4531","130883.6250","-7.03"
"2017年03月07日","140775.4688","148097.2656","148333.9219","138722.5625","-4.94"
"2017年03月06日","148097.2656","146435.2344","148191.8281","135216.3438","4.18"
"2017年03月05日","142159.9844","144144.1719","147472.1406","140725.2031","-1.38"
"2017年03月04日","144144.1719","146571.9688","147901.6094","135758.3750","-1.66"
"2017年03月03日","146571.9688","142931.0313","148451.2813","135675.1406","2.55"
"2017年03月02日","142931.0313","137787.7031","145017.5938","132404.3750","3.73"
"2017年03月01日","137787.7031","134746.9375","137787.7031","124773.3672","2.26"
"2017年02月28日","134746.9375","133307.5625","136910.8125","130455.5625","1.08"
"2017年02月27日","133307.5625","131550.4219","134077.8125","129347.8359","1.34"
"2017年02月26日","131550.4219","119021.3594","133730.2500","119021.3594","10.53"
"2017年02月25日","119021.3594","132465.1719","135909.6719","119021.3594","-10.15"
"2017年02月24日","132465.1719","129841.9297","137980.6250","120000.0000","2.02"
"2017年02月23日","129841.9297","126921.0547","130999.3438","120000.0000","2.30"
"2017年02月22日","126921.0547","126710.2188","127845.5469","116390.7578","0.17"
"2017年02月21日","126710.2188","122236.1172","127029.2422","117383.6953","3.66"
"2017年02月20日","122236.1172","119953.4297","122236.1172","117556.5000","1.90"
"2017年02月19日","119953.4297","119237.3672","120600.4844","117739.6250","0.60"
"2017年02月18日","119237.3672","119621.1406","120386.2578","116869.8438","-0.32"
"2017年02月17日","119621.1406","117792.5078","120363.5078","115234.1016","1.55"
"2017年02月16日","117792.5078","115011.0391","118589.2734","113910.5234","2.42"
"2017年02月15日","115011.0391","113435.4375","116940.4766","113435.4375","1.39"
"2017年02月14日","113435.4375","113722.9609","116438.7969","105152.6172","-0.25"
"2017年02月13日","113722.9609","114136.0703","118553.9766","110554.0547","-0.36"
"2017年02月12日","114136.0703","113185.6094","116194.8516","112415.6875","0.84"
"2017年02月11日","113185.6094","113219.9766","115547.8594","108238.2969","-0.03"
"2017年02月10日","113219.9766","113402.0547","122518.5547","108225.7188","-0.16"
"2017年02月09日","113402.0547","116775.5703","122290.2344","107105.1250","-2.89"
"2017年02月08日","116775.5703","118068.1797","121771.4219","114122.7500","-1.09"
"2017年02月07日","118068.1797","114746.4609","118774.4453","111772.0391","2.89"
"2017年02月06日","114746.4609","113506.0625","115700.9219","113112.0234","1.09"
"2017年02月05日","113506.0625","114385.4063","115879.3125","112107.1797","-0.77"
"2017年02月04日","114385.4063","114659.4922","115350.9297","111859.2813","-0.24"
"2017年02月03日","114659.4922","112163.0703","115676.9219","109301.4766","2.23"
"2017年02月02日","112163.0703","111019.2109","112666.8203","107061.3125","1.03"
"2017年02月01日","111019.2109","108191.7891","111617.6953","99135.9141","2.61"
"2017年01月31日","108191.7891","104284.1719","108267.9766","99135.9141","3.75"
"2017年01月30日","104284.1719","104916.2891","105471.1172","102878.1172","-0.60"
"2017年01月29日","104916.2891","105252.2656","106315.2891","104717.8828","-0.32"
"2017年01月28日","105252.2656","104000.1172","106314.7031","103956.6172","1.20"
"2017年01月27日","104000.1172","103490.4844","106013.9219","102243.7813","0.49"
"2017年01月26日","103490.4844","100056.9453","105419.5391","99919.7969","3.43"
"2017年01月25日","100056.9453","101589.0469","104243.0078","100000.0000","-1.51"
"2017年01月24日","101589.0469","103728.1641","104698.3359","100951.9609","-2.06"
"2017年01月23日","103728.1641","104470.1875","105810.5859","99967.3203","-0.71"
"2017年01月22日","104470.1875","105004.1875","106564.2734","95296.0938","-0.51"
"2017年01月21日","105004.1875","103507.6719","106001.1406","100557.2344","1.45"
"2017年01月20日","103507.6719","103643.3516","105817.6875","100306.9375","-0.13"
"2017年01月19日","103643.3516","99015.6094","105316.4766","98330.6953","4.67"
"2017年01月18日","99015.6094","102391.6797","105363.1797","93754.1328","-3.30"
"2017年01月17日","102391.6797","94857.2969","103060.9766","90690.5469","7.94"
"2017年01月16日","94857.2969","92498.7500","95406.3906","88311.9219","2.55"
"2017年01月15日","92498.7500","91613.7578","102590.1328","88284.1094","0.97"
"2017年01月14日","91613.7578","93877.5781","102590.1328","89314.7109","-2.41"
"2017年01月13日","93877.5781","93496.9453","94443.7656","88272.8125","0.41"
"2017年01月12日","93496.9453","88836.1406","105974.8672","87043.3750","5.25"
"2017年01月11日","88836.1406","105266.0625","106857.8906","88644.7422","-15.61"
"2017年01月10日","105266.0625","106399.5703","106399.5703","102436.5313","-1.07"
"2017年01月09日","106399.5703","110454.5469","110745.5391","101982.7656","-3.67"
"2017年01月08日","110454.5469","105380.5938","112325.6719","95068.6016","4.81"
"2017年01月07日","105380.5938","108571.1953","114602.8125","95080.2734","-2.94"
"2017年01月06日","108571.1953","112744.2656","137393.5156","98672.4063","-3.70"
"2017年01月05日","112744.2656","130009.5234","139065.3281","101769.1172","-13.28"
"2017年01月04日","130009.5234","115395.7344","130166.9453","114740.0859","12.66"
"2017年01月03日","115395.7344","116706.5391","121366.8984","114290.7188","-1.12"
"2017年01月02日","116706.5391","114100.9063","118165.0938","111027.0313","2.28"
"2017年01月01日","114100.9063","111315.5781","114594.1719","108567.7266","2.50"
"2016年12月31日","111315.5781","112142.7734","113650.0625","109871.2734","-0.74"
"2016年12月30日","112142.7734","113739.9766","114678.3750","108770.9766","-1.40"
"2016年12月29日","113739.9766","111749.9688","114001.3828","106494.1797","1.78"
"2016年12月28日","111749.9688","107087.5781","112877.7734","100424.1250","4.35"
"2016年12月27日","107087.5781","105592.6563","113651.2344","100114.4688","1.42"
"2016年12月26日","105592.6563","103345.9297","105629.4609","96287.6875","2.17"
"2016年12月25日","103345.9297","103488.2656","108111.0781","96472.1016","-0.14"
"2016年12月24日","103488.2656","104409.6797","108120.6016","100550.3828","-0.88"
"2016年12月23日","104409.6797","98431.4766","105410.5547","98122.9219","6.07"
"2016年12月22日","98431.4766","96313.8516","104537.9766","93414.5313","2.20"
"2016年12月21日","96313.8516","93483.4766","104537.9766","92402.0234","3.03"
"2016年12月20日","93483.4766","92543.8125","93699.6172","90492.2344","1.02"
"2016年12月19日","92543.8125","92139.3438","92766.0313","91652.8359","0.44"
"2016年12月18日","92139.3438","93392.9609","98000.0234","92121.1875","-1.34"
"2016年12月17日","93392.9609","92445.2344","93760.9922","90878.0703","1.03"
"2016年12月16日","92445.2344","92227.6641","98000.0625","90094.4219","0.24"
"2016年12月15日","92227.6641","90959.0703","98000.0156","90091.6250","1.39"
"2016年12月14日","90959.0703","89402.1328","97367.0000","88368.0625","1.74"
"2016年12月13日","89402.1328","89207.4688","97472.1406","87455.5469","0.22"
"2016年12月12日","89207.4688","89011.0469","90003.0547","87440.0000","0.22"
"2016年12月11日","89011.0469","88421.0156","89244.4766","87665.7500","0.67"
"2016年12月10日","88421.0156","88913.8750","89590.5938","86854.5391","-0.66"
"2016年12月09日","89008.1797","86590.4141","89195.4688","86064.6094","2.79"
"2016年12月08日","86590.4141","87083.1875","87912.6328","84575.5859","-0.57"
"2016年12月07日","87083.1875","87262.0469","88030.7734","84584.2656","-0.20"
"2016年12月06日","87262.0469","84778.1094","87667.1484","84207.1328","2.93"
"2016年12月05日","84778.1094","87128.1328","88634.4688","84125.8203","-2.70"
"2016年12月04日","87128.1328","86317.4766","87216.1875","85083.1875","0.94"
"2016年12月03日","86317.4766","87215.9609","93916.5000","84875.0313","-1.03"
"2016年12月02日","87215.9609","85710.9297","93916.9609","80160.5234","1.76"
"2016年12月01日","85710.9297","80160.5781","86051.1406","80160.5078","6.92"
"2016年11月30日","80160.5781","81474.6797","84360.9219","80160.5781","-1.61"
"2016年11月29日","81474.6797","81476.6172","83061.1953","80160.5234","-0.00"
"2016年11月28日","81476.6172","82249.3828","82898.2422","80160.5234","-0.94"
"2016年11月27日","82249.3828","82425.0156","83192.0078","81684.1172","-0.21"
"2016年11月26日","82425.0156","82873.2344","83444.5234","82147.9922","-0.54"
"2016年11月25日","82873.2344","82959.9219","84251.6484","80160.5234","-0.10"
"2016年11月24日","82959.9219","81664.4453","84035.6563","81619.5547","1.59"
"2016年11月23日","81664.4453","82584.2891","83800.8750","79491.3594","-1.11"
"2016年11月22日","82584.2891","81192.1016","83129.0000","78638.6953","1.71"
"2016年11月21日","81192.1016","79436.6406","81796.8359","79119.1797","2.21"
"2016年11月20日","79436.6406","82877.6719","82877.6719","78203.4063","-4.15"
"2016年11月19日","82877.6719","82790.7500","82977.2188","80399.8984","0.10"
"2016年11月18日","82790.7500","80038.5938","82877.5156","78010.8672","3.44"
"2016年11月17日","80038.5938","78893.9766","81456.2109","76800.2891","1.45"
"2016年11月16日","78893.9766","77887.1484","81000.9141","76554.5859","1.29"
"2016年11月15日","77887.1484","75496.6953","77937.6875","75309.4688","3.17"
"2016年11月14日","75496.6953","75260.9531","77073.8203","73860.2578","0.31"
"2016年11月13日","75260.9531","76024.0391","77489.3984","73430.7734","-1.00"
"2016年11月12日","76024.0391","75844.3125","77479.7969","75486.8984","0.24"
"2016年11月11日","75844.3125","75415.9375","77766.1172","75110.1406","0.57"
"2016年11月10日","75415.9375","74983.2969","78171.0859","74151.2422","0.58"
"2016年11月09日","74983.2969","73043.1250","78249.9453","71476.8750","0.27"
"2016年11月08日","74778.0078","72664.6875","75038.8750","70687.1328","2.91"
"2016年11月07日","72664.6875","73235.4609","73898.2344","67554.0859","-0.78"
"2016年11月06日","73235.4609","72378.5625","73731.3672","68000.0000","1.18"
"2016年11月05日","72378.5625","72427.3438","73934.4609","70399.3203","-0.07"
"2016年11月04日","72427.3438","76000.0000","76912.8516","68000.0000","-4.70"
"2016年11月03日","76000.0000","76088.8203","77486.7031","71120.9219","-0.12"
"2016年11月02日","76088.8203","70472.6953","76088.8203","70045.3359","7.97"
"2016年11月01日","70472.6953","72098.6563","75539.1328","70440.3203","-2.26"
"2016年10月31日","72098.6563","75624.4844","76051.7422","70834.6797","-4.66"
"2016年10月30日","75624.4844","74966.2109","76078.6797","71277.6328","0.88"
"2016年10月29日","74966.2109","70903.7891","74992.5625","69809.0781","5.73"
"2016年10月28日","70903.7891","71438.9297","73536.0000","69210.0000","-0.75"
"2016年10月27日","71438.9297","69828.5391","71895.1953","67686.8984","2.31"
"2016年10月26日","69828.5391","67667.5234","70012.0391","63631.8945","3.19"
"2016年10月25日","67667.5234","66643.3750","68836.3984","66611.1563","1.54"
"2016年10月24日","66643.3750","67504.0078","67758.4844","65610.4609","-1.27"
"2016年10月23日","67504.0078","66033.1250","67515.4531","65366.8398","2.23"
"2016年10月22日","66033.1250","65350.5977","67279.0313","64293.9336","1.04"
"2016年10月21日","65350.5977","63890.4336","66733.2422","63777.6055","2.29"
"2016年10月20日","63890.4336","64817.4570","66593.6406","63868.1758","-1.43"
"2016年10月19日","64817.4570","65961.7031","69355.1172","64032.3750","-1.73"
"2016年10月18日","65961.7031","65641.4141","66818.1797","65507.0898","0.49"
"2016年10月17日","65641.4141","66281.4609","66963.0469","65610.0000","-0.97"
"2016年10月16日","66281.4609","65710.8750","68000.0000","65691.1016","0.87"
"2016年10月15日","65710.8750","65590.5156","68000.0000","61621.1563","0.18"
"2016年10月14日","65590.5156","64109.9492","66607.0781","61621.1563","2.31"
"2016年10月13日","64109.9492","64825.8438","66040.7188","63934.6953","-1.11"
"2016年10月12日","64826.9492","62881.3516","65941.0547","62690.3516","3.09"
"2016年10月11日","62881.3516","60373.2305","64719.0234","60255.8828","4.15"
"2016年10月10日","60373.2305","59879.6055","61500.0000","59800.0000","0.82"
"2016年10月09日","59879.6055","60714.8906","61959.6133","59874.0391","-1.38"
"2016年10月08日","60714.8906","62467.0117","62742.3750","59562.1836","-2.80"
"2016年10月07日","62467.0117","57731.6484","63219.6211","57612.9766","8.20"
"2016年10月06日","57731.6484","61091.4688","62998.8672","56624.3008","-5.50"
"2016年10月05日","61091.4688","57447.5898","62460.3867","57385.0000","6.34"
"2016年10月04日","57447.5898","61022.0977","62274.0820","57424.8320","-5.86"
"2016年10月03日","61022.0977","59503.6094","61813.3086","59386.6680","2.55"
"2016年10月02日","59503.6094","61793.0547","61812.1328","59414.2578","-3.71"
"2016年10月01日","61793.0547","59446.1367","62054.2344","59446.1367","3.95"
"2016年09月30日","59446.1367","61252.9492","61875.1641","59158.3906","-2.95"
"2016年09月29日","61252.9492","60487.0195","61925.0664","59431.1211","1.27"
"2016年09月28日","60487.0195","60362.5195","60704.3242","59036.5273","0.21"
"2016年09月27日","60362.5195","60031.6172","61163.2500","58704.3477","0.55"
"2016年09月26日","60031.6172","59145.7813","60760.6758","58488.1055","1.50"
"2016年09月25日","59145.7813","60055.2109","60842.0039","58738.2891","-1.51"
"2016年09月24日","60055.2109","59037.4727","60598.4414","58578.4961","1.72"
"2016年09月23日","59037.4727","58661.2891","62266.2461","58396.0234","0.64"
"2016年09月22日","58661.2891","58518.2773","62165.9688","58096.0547","0.24"
"2016年09月21日","58518.2773","59834.3750","62110.5586","58171.7656","-2.20"
"2016年09月20日","59834.3750","61479.9453","64782.1367","59719.9609","-2.68"
"2016年09月19日","61479.9453","60499.6055","62508.0547","59065.2227","1.62"
"2016年09月18日","60499.6055","62118.6758","62183.2227","60044.6875","-2.61"
"2016年09月17日","62118.6758","61372.9258","62491.5977","60023.8203","1.22"
"2016年09月16日","61372.9258","61574.7031","62951.5313","60565.7500","-0.33"
"2016年09月15日","61574.7031","62866.9883","63482.8633","60698.0820","-2.06"
"2016年09月14日","62866.9883","61073.5625","63302.6484","60204.2461","2.94"
"2016年09月13日","61073.5625","62090.6758","63480.9961","59122.2227","-1.64"
"2016年09月12日","62090.6758","60276.4180","63206.0859","59029.2617","3.01"
"2016年09月11日","60276.4180","62086.5898","63464.7109","60238.2813","-2.92"
"2016年09月10日","62086.5898","62793.8906","63638.5508","61686.3789","-1.13"
"2016年09月09日","62793.8906","63412.7813","65640.4688","61601.8125","-1.67"
"2016年09月08日","63862.4570","62213.3750","65396.7617","60277.2891","2.65"
"2016年09月07日","62213.3750","59405.5234","63105.6797","58767.9219","4.73"
"2016年09月06日","59405.5234","61212.5938","62971.7109","59377.1250","-2.95"
